,video_id,category,duration,made_for_kids
1235,_N43Ix3GiBI,People & Blogs,0:00:56,False
1236,uwRqcj6a9dw,Entertainment,0:00:59,False
1237,-eAPhF-TxWA,People & Blogs,0:01:01,False
1238,r_oMBmcsmX0,Sports,0:00:10,False
1239,YH0n2wcOe0o,Gaming,0:00:28,False
1240,9Cx-ovRaIdE,Comedy,0:01:00,False
1241,SV2HHjf_wnw,Entertainment,0:00:24,False
1242,39Sy5XoSHPA,Entertainment,0:01:00,False
1243,1vupS6x-29A,Gaming,0:00:16,False
1244,-2MeiG35HLM,Howto & Style,0:00:19,False
1245,PcE4V90pUUo,Entertainment,0:00:57,False
1246,O0re4nmrbKc,Entertainment,0:00:53,False
1247,IfExyD6MCTE,Sports,0:14:14,False
1248,m5oxzyGZhq0,People & Blogs,0:01:00,False
1249,iUwE-jrZB2s,Entertainment,0:01:00,False
1250,pGrrzdYWkjg,,,
1251,xCVGqKO_EFY,Entertainment,0:00:37,False
1252,MhSOVCDpPHA,People & Blogs,0:00:57,False
1253,72ijl3I1z8w,Entertainment,0:00:33,False
1254,XSoetNlZw9Y,Entertainment,0:00:22,False
1255,uoes017uQvs,People & Blogs,0:00:53,False
1256,mCfNia7TpLc,Entertainment,0:00:26,False
1257,ocFeA0f-T0M,Entertainment,0:00:59,False
1258,oVC_cmq1NI0,Sports,0:13:16,False
1259,92Jgo1S29wU,Entertainment,0:00:18,False
1260,D_zChmyAeTI,Entertainment,0:00:44,False
1261,r4h_uEFwx2k,People & Blogs,0:00:57,False
1262,9a3am5EOyfg,Entertainment,0:00:45,False
1263,3s9GU97gui4,News & Politics,0:00:59,False
1264,XbXtLAbPeKs,People & Blogs,0:00:37,False
1265,IOcBas3_ToE,Film & Animation,0:00:27,False
1266,jKzcVyK8fEc,Sports,0:09:04,False
1267,d_IVAVg92yY,People & Blogs,0:00:27,False
1268,3lp_sdwrl5E,Comedy,0:01:00,False
